areaName,Borough,areaType,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10
Morningside Heights,Manhattan,neighborhood,3284,3197,3190,3240,3214,3100,3200,3215,3000,2863,2869,2979,2900,2979,2995,2997,3150,3195,3200,3200,3100,3010,2975,2937,2995,2850,2929,3000,3145,3375,3295,3323,3295,3123,3200,3200,3200,3200,3200,3132,3367,3350,3170,2950,2853,2896,2850,2999,3200,3000,3195,3364,3431,3300,3300,3335,3095,3350,3600,3200,3295,3298,3766,4017,3900,4000,3750,3848,4350,3900,4215,3950,3895,4215,4193,4450,4200,4200,4150,4195,4198,3795
Morris Heights,Bronx,neighborhood,1460,1495,1795,1495,1495,1650,1600,1700,1675,1675,1675,,,,,,,,1750,1800,1800,1595,1602,1698,1695,1695,1650,1650,,1800,1848,2100,2100,2050,1884,1967,1967,2061,1900,,,1850,1850,1798,1850,1900,1800,1850,,,,,1825,,1750,1800,1795,,1848,,,,1925,,2132,2149,,2200,2445,2548,2575,2295,2248,2890,2676,2890,2890,,,,,
Morris Park,Bronx,neighborhood,1500,1500,1550,1625,1600,1650,1600,1600,1750,1600,1600,1600,1800,1825,1900,1900,1850,1813,1900,1925,1725,1850,1650,1650,1787,1788,1700,1750,1775,1900,1900,1995,1899,2225,2200,,1745,1700,1999,1998,,1998,2024,1714,1757,1869,1849,1688,1675,1700,1850,2075,2049,1749,1800,1899,1825,,1949,,,,,,,1999,2200,2300,2270,,1750,1823,1825,1948,2000,1975,1900,2350,2350,2400,2324,
Morrisania,Bronx,neighborhood,,,,,,,,,,,,,1825,,,,,,,1775,1650,2200,1700,2000,1700,,,1800,1875,1887,2108,2031,2050,1849,,,1850,,,,,,,,1800,,2005,,,,,2025,,,,,,,2550,,,,,,,,,,,,,,,,1975,,,,,,2250,2425
Mott Haven,Bronx,neighborhood,2200,1988,2118,1950,1950,1950,1950,1950,1860,1925,2155,2155,2155,2200,2200,2238,2250,2290,2300,2250,2125,2000,2000,1950,2025,2295,2238,2250,2250,2475,2446,2381,2350,2295,2185,2189,2275,2389,2389,2350,2188,2100,2259,2220,2200,2200,2267,2250,2275,2200,2248,2318,2350,2300,2400,2450,2500,2481,2504,2500,2725,2825,3013,2675,2800,2825,2850,2822,2750,2825,2750,2600,2865,2882,2877,2865,2950,2966,3000,3000,3064,3150
NYC,,city,2750,2750,2700,2750,2770,2795,2800,2857,2800,2795,2700,2700,2695,2672,2699,2750,2795,2800,2825,2800,2784,2700,2658,2656,2695,2700,2700,2800,2850,2900,2950,2947,2925,2900,2899,2895,2900,2900,2925,2995,2950,2890,2800,2745,2650,2550,2500,2500,2499,2500,2495,2500,2520,2600,2694,2700,2750,2700,2750,2800,2900,2995,3000,3200,3350,3500,3550,3550,3500,3500,3400,3405,3495,3500,3500,3659,3725,3750,3795,3750,3700,3600
New Hyde Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolita,Manhattan,neighborhood,3600,3995,3600,3748,3679,3723,3795,3795,3625,3495,3498,3500,3500,3495,3500,3595,3645,3695,3895,3714,3595,3650,3700,3500,3375,3500,3563,3750,3850,3795,3795,3895,3795,3795,3825,3895,3750,3895,3795,3750,3500,3500,3400,3200,3000,2995,2950,2800,2777,2625,2673,2698,3000,3573,3700,4048,3995,3995,3695,3625,4148,4000,4195,4495,4548,4800,4995,5250,4995,5100,4900,4900,4495,4498,4495,4295,4395,4498,4840,4898,4898,4600
North Brooklyn,Brooklyn,submarket,2999,2995,3000,3000,3000,3099,3095,3000,3000,2970,2875,2800,2800,2865,2900,2953,2999,3000,3000,3000,2999,2995,2899,2860,2950,2995,2975,3138,3249,3270,3399,3415,3495,3497,3499,3500,3450,3499,3438,3400,3290,3170,3100,3000,2899,2800,2800,2799,2750,2800,2800,2800,2850,3055,3400,3600,3718,3593,3700,3750,3700,3800,3800,4000,4000,4300,4399,4300,4342,4300,4100,4200,4200,4245,4250,4300,4418,4495,4500,4500,4500,4490
North Corona,Queens,neighborhood,,,,1775,1725,2250,1763,,,1695,1550,,1575,1610,1700,1725,1633,1950,1950,1700,1698,,,1645,1550,,1650,1883,2325,1850,2495,1750,,,1775,2100,2450,,,,,,,1725,,1950,2150,1938,2050,,2300,2300,2145,1995,1990,1550,,,,,,,,2300,2125,,,2100,,2700,,2025,,,,,2800,3500,2480,,,
